,Count,priority,issuetype,is_assigned,comment_count,link_count,affect_count,fix_count,has_priority_change,has_desc_change,has_fix_change,reporter_rep,assignee_workload
13205,2,3,3,*0, 1, 0,1,1,0, 0, 0,*0.23076923,16
13226,1,*1,1,1, 4, 1,0,1,0, 0, 0,0.51470588, 9
13230,1,*1,7,1, 1, 0,1,1,1, 0, 1,0.64035088,42
13234,1,*4,3,1, 0, 0,0,1,0, 1, 0,0.66666667, 4
13271,1,3,7,1, 1, 0,1,1,*2, 0, 0,0.67521368,37
13345,1,*4,1,1, 5, 0,1,1,0, 1, 1,0.51098901, 2
13475,3,*2,*3,1, 6, 0,0,1,*1, 0, 1,0.79870130,21
13477,1,1,1,1, 8, 0,0,1,*2, 1, 1,0.77987421,21
13520,1,*1,7,1, 1, 0,1,1,1, 0, 0,0.65789474,40
13558,1,3,7,1, 1, 0,1,1,*2, 0, 0,0.67543860,39
13568,1,3,7,1, 1, 0,1,1,*2, 0, 0,0.67543860,38
13931,1,3,*6,1, 2, 0,0,1,0, 0, 1,0.62272727, 7
13992,1,*4,3,1, 0, 0,0,0,0, 0, 0,0.71153846, 8
14095,1,3,*6,1, 1, 0,0,0,0, 0, 0,0.64680851, 8
14209,1,3,*6,1, 1, 0,0,1,0, 0, 1,0.64680851,11
14227,1,3,1,*0, 2, 2,0,0,0, 0, 0,0.66804979, 6
14403,2,*5,4,1, 4, 1,1,1,*1, 0, 1,0.51470588,10
14437,1,3,*6,1, 2, 0,0,1,0, 0, 1,0.72413793, 9
14461,1,*1,3,1, 2, 2,0,0,0, 0, 0,0.78982301,36
14810,1,3,1,1, 2, 1,0,1,0, 1, 1,*0.20000000, 3
15057,1,3,*6,1, 2, 0,0,1,0, 0, 1,0.37500000, 6
15305,1,3,*6,1, 1, 0,0,1,0, 0, 2,0.55555556, 5
15358,1,3,7,*0, 8, 0,0,1,0, 0, 1,0.62857143,10
15375,1,3,*6,1, 3, 0,0,1,0, 0, 0,0.73121387,27
15394,1,*1,3,1, 4, 2,1,1,0, 0, 1,0.79028698,18
15399,1,*1,3,1,24, 2,1,1,0, 0, 1,0.79028698,18
15475,2,3,1,0, 1, 0,1,0,*3, 0,* 3,0.71380471,16
15650,1,3,7,0, 5, 2,1,0,*2, 0, 2,0.80396476, 6
15667,1,*2,1,1,10, 1,0,1,0, 1, 1,0.79069767,18
15725,1,2,1,*0, 5, 0,1,1,0, 0, 1,0.55882353,32
15730,1,3,1,1, 1, 0,*9,1,0, 0, 0,0.68750000,11
15744,1,*1,1,1, 5, 0,1,1,0, 2, 0,0.45283019, 2
15937,1,3,3,1, 4, 1,0,1,0, 0, 0,*0.09090909, 2
15947,1,3,3,1,10, 1,0,1,0, 0, 1,*0.14285714, 2
16276,1,3,*6,1, 0, 1,0,1,0, 0, 0,0.50000000, 4
16300,1,*4,3,1, 0, 1,1,0,0, 0, 0,0.71428571, 6
16310,1,3,*2,1, 3, 8,0,1,0, 0, 1,0.38888889, 3
16464,2,*1,1,1, 7, 2,1,1,*1, 0, 1,0.54794521, 8
16483,1,*4,1,1, 1, 0,1,1,0, 0, 1,0.59322034,15
16664,1,3,*6,1, 5, 0,0,1,0, 1, 1,0.72500000,10
16666,1,*1,3,1, 3, 0,1,1,0, 0, 0,0.50000000,20
16675,1,*1,1,1, 1, 0,1,1,0, 0, 1,0.76734694, 9
16751,1,3,1,1, 2, 1,0,1,0, 0,* 8,0.70072993,15
16758,1,3,3,1, 5, 1,0,1,0, 1, 0,*0.85080337, 4
16806,1,3,1,*0, 0, 0,0,1,0, 0, 0,0.83486239,16
16838,2,3,*3,1, 1,* 1,1,1,0, 0, 1,0.78947368, 4
16860,1,3,*6,1, 5, 0,0,1,0, 0, 0,0.74418605, 9
16900,1,3,1,*0, 7, 2,0,1,0, 1, 4,0.85000000,20
17011,2,*1,1,1, 2, 0,*3,1,0, 1, 0,0.73076923,11
17055,2,*1,1,1, 1, 0,0,0,0, 0, 0,*0.12500000, 4
17073,1,3,1,1, 7, 0,*3,1,0, 0, 1,0.48076923,30
17245,1,3,4,1, 2, 0,0,0,0,* 2, 0,0.52380952, 5
17341,1,3,1,0, 2, 0,1,1,0, 0,* 9,0.75949367,44
17407,1,*2,1,1, 0, 1,1,0,0, 0, 0,0.80769231,13
17488,1,3,*5,0, 1, 0,0,0,0, 0, 0,0.84905660, 5
17520,1,3,4,1,18, 1,0,1,0,* 3, 1,0.66666667, 6
17592,1,3,*5,1, 4, 0,0,0,0, 0, 0,0.53846154,19
17600,1,3,*5,1, 4, 0,0,0,0, 0, 0,0.64285714,13
17621,1,3,*5,1, 6, 0,0,0,0, 0, 0,0.62500000,21
17624,1,3,*5,1, 7, 0,0,0,0, 0, 0,0.66666667,17
17636,1,*1,1,1, 3, 0,0,0,0, 0, 0,0.53424658,20
17650,1,3,4,1, 5, 0,0,1,0,* 2, 1,0.52631579, 4
17768,1,*4,3,1, 0, 0,1,0,0, 0, 3,0.80622010,13
17772,1,*1,1,1, 2, 0,0,1,0, 0, 0,0.35416667, 7
17820,2,3,3,1,20, 4,0,1,0,* 3, 1,0.57407407,* 1
17821,2,3,3,1,20, 4,0,1,0,* 3, 1,0.59259259,* 1
17854,1,*1,1,1, 4, 0,0,1,0, 0, 1,0.75000000, 4
17894,1,*2,4,1,29, 0,1,0,0, 1, 4,0.44696970, 1
17991,1,3,7,*0, 3, 0,0,1,0, 0, 1,0.65000000,30
18073,1,3,7,*0,15, 0,0,1,0, 1, 4,0.80952381,12
18078,3,3,*1,1, 9,* 2,0,1,0, 0, 0,*0.85000000, 8
18086,1,2,4,1, 3, 1,0,1,0,* 3, 1,0.78021978,25
18089,1,2,4,1, 3, 1,0,1,0,* 3, 1,0.79057592,25
18096,1,3,*6,1, 3, 0,0,1,0, 0, 1,0.65126050, 4
18102,3,3,*7,1, 5,* 1,0,1,0, 1, 1,0.76666667,*27
18105,2,3,*7,1, 6,* 1,0,1,0, 1, 1,0.78021978,26
18108,2,3,*7,1, 6,* 1,0,1,0, 1, 1,0.79057592,26
18120,2,3,1,1,11, 0,*0,1,0,* 1, 0,0.57894737,10
18156,1,3,7,*0, 8, 0,0,1,0, 0, 3,0.66666667,31
18202,1,*2,4,1, 0, 1,0,0,0, 0, 0,0.63414634,17
18220,1,*2,4,1, 1, 1,0,0,0, 0, 0,0.67391304,13
18224,1,2,4,1, 0, 1,0,0,*1, 0, 0,0.65116279,15
18226,1,3,*7,1, 4, 0,0,1,0, 1, 1,0.62500000,13
18231,1,3,*7,1, 6, 0,0,1,0, 1, 3,0.57894737,10
18246,1,2,4,1, 0, 1,0,0,*1, 0, 0,0.65116279,14
18299,1,3,*6,1, 6, 0,0,1,0, 0, 1,0.67901235, 1
18454,1,3,3,1, 1, 1,0,1,0, 0, 1,*0.23684211, 9
18542,1,*1,4,1, 1, 5,0,1,1, 0, 1,0.80000000,37
18568,1,*4,4,1, 9, 1,1,1,0, 0, 1,0.33333333, 1
18616,1,3,1,1, 2, 0,1,0,*2, 0, 3,0.56603774,11
18638,1,3,*6,1, 3, 1,1,1,0, 0, 0,0.80263158,20
18732,1,3,3,1, 3, 1,0,1,0,* 3, 1,0.69285714,14
18767,1,*5,3,1, 3, 0,1,2,0, 0, 1,0.55952381, 2
18768,1,*5,3,1, 3, 0,1,1,0, 0, 2,0.55952381, 2
18774,1,*5,3,1, 4, 0,1,1,0, 0, 2,0.57446809, 2
18852,1,3,*6,1, 1, 0,0,1,0, 0, 1,0.68312757, 4
18903,1,3,7,*0,10, 0,0,1,0, 1, 1,0.62857143,10
18908,2,3,3,1,* 0, 1,0,1,0, 0, 1,*0.84818731,46
19014,1,*4,3,1, 0, 2,0,1,0, 0, 1,0.78021978,28
19291,11,*2,*1,1,*11,* 1,*0,*2,*0,* 0,* 1,*0.77595628,*27
19292,2,*2,1,1,12, 1,0,*2,0, 0, 1,0.77595628,27
19296,5,*2,*1,1,17,* 1,*0,*2,0, 0, 1,0.77595628,27
19338,1,3,*3,1, 6, 0,0,1,0, 0, 1,0.73684211,10
19345,1,3,3,*0,10, 2,0,1,0, 0, 2,0.84210526,16
19360,1,3,*6,1, 2, 0,0,1,0, 0, 0,0.72093023,11
19361,1,3,*6,1, 0, 0,0,1,0, 0, 1,0.72346369,30
19369,1,3,*6,1, 3, 0,0,1,0, 1, 0,0.71546961,30
19431,3,3,*1,1, 4,* 1,0,1,0, 1,* 0,0.81818182, 7
19555,1,*1,1,1, 5, 1,1,1,0, 1, 0,0.32075472, 8
19556,2,3,1,1, 0, 0,*3,*3,0, 0, 0,0.63636364, 2
19557,1,3,1,1, 3, 0,*3,1,0, 0, 1,0.72727273, 2
19606,1,*2,4,1, 0, 4,0,1,0, 0, 0,0.80000000,37
19627,1,1,1,1, 3, 0,0,1,*1, 0, 0,0.62500000,28
19646,1,2,1,1, 0, 0,1,0,*1, 0, 0,0.76595745,34
19647,1,2,1,1, 0, 0,1,0,*1, 1, 0,0.74468085,36
19704,1,3,7,1, 4, 0,0,*0,0, 0, 2,0.77173913,29
19834,1,3,*7,1, 8, 0,0,1,0, 0, 2,0.55000000,18
19853,1,3,7,*0,16, 2,0,1,0, 0, 3,0.84000000,16
19860,1,3,*6,1, 1, 0,0,1,0, 0, 1,0.76086957,10
19875,1,3,*6,1, 2, 0,0,1,0, 1, 1,0.78260870, 9
19877,1,3,*6,1, 3, 0,0,1,0, 0, 1,0.76086957, 9
19880,1,3,*6,1, 6, 0,0,1,0, 0, 1,0.81250000, 9
19899,1,2,1,1, 2, 0,0,1,*1, 1, 1,0.72357724, 8
19900,1,2,1,1, 3, 0,0,1,*1, 1, 1,0.71276596, 8
19904,1,*4,3,1, 1, 0,0,0,0, 0, 0,0.77837838,30
19911,2,*2,*2,1, 4, 0,0,0,0, 1, 0,0.63503650, 9
19951,1,3,1,1, 2, 0,0,1,0,* 2, 1,0.50000000, 5
19971,1,3,3,1, 0, 1,0,1,0, 0, 0,*0.84939759,52
19973,1,3,*6,1, 1, 0,0,1,0, 0, 1,0.81250000,10
19990,1,3,*6,1, 1, 0,0,1,0, 0, 1,0.81250000,10
20040,1,3,1,1,10, 1,0,1,0,* 3, 2,0.70000000,32
20118,7,*3,*1,1, 4,* 1,*0,1,0, 0,* 1,*0.71657754,*27
20172,1,3,1,*0, 3, 0,0,1,0, 0, 0,0.73684211, 4
20181,1,3,1,*0,13, 1,0,1,0, 1, 0,0.76315789,24
20192,1,*1,3,1, 1, 0,0,1,0, 0, 0,0.70312500,17
20220,1,*4,1,1, 3, 1,0,0,0, 0, 0,0.57419355, 6
20224,10,*3,*1,1,* 6,* 0,*1,*1,0,* 0,* 0,*0.79296875,* 3
20315,1,3,*2,1, 0, 1,0,1,0, 0, 0,0.56774194,54
20321,1,*4,4,1, 7, 0,1,0,0, 0, 0,0.50000000, 6
20350,1,*4,3,1, 1, 0,0,0,0, 0, 0,0.82178218,25
20452,1,3,7,1, 1, 0,0,1,0,* 3, 1,0.79310345,12
