,Count,priority,issuetype,is_assigned,comment_count,link_count,affect_count,fix_count,has_priority_change,has_desc_change,has_fix_change,reporter_rep,assignee_workload
28681,1,3,1,1, 56, 2, 0, 3,0,0,*34,0.89442815,20
28682,2,3,1,1, 57, 2, 0,* 3,0,0,*34,0.89442815,20
28683,2,3,1,1, 58, 2, 0,* 0,0,0,*35,0.89442815,20
28705,1,1,*3,1, 47, 0, 1, 1,1,0, 1,0.83271375, 2
28793,1,*1,1,1,  1, 0, 1, 1,0,0, 0,0.83223684, 5
28977,1,4,*2,1,  8, 0, 1, 0,0,0, 0,0.86956522, 2
28988,1,3,3,*0, 11, 2, 0, 0,1,0, 6,0.95652174,15
29131,1,4,*6,1, 12, 0, 1, 3,0,0, 2,0.62500000,28
29220,1,3,1,1, 61, 1, 0, 6,0,0, 1,*0.20000000, 2
29262,1,3,4,*0, 27, 0, 0, 0,0,0, 9,0.90275527,18
29280,1,4,*6,1, 10, 0, 0, 2,0,0, 2,0.89034370,20
29308,1,4,1,1, 13, 0, 1, 0,*1,0, 1,0.83190184,15
29370,6,*4,*3,1, 15,* 0,* 1,* 4,0,0, 1,*0.75000000, 3
29382,1,4,*6,1,  7, 0, 0, 1,0,1, 1,0.88907015,21
29415,1,3,*3,1, 10, 0, 0, 5,0,0, 1,0.74688797,11
29416,2,3,*3,1, 13, 0, 0,* 5,0,0, 1,0.74688797,11
29425,1,4,*5,1,  1, 0, 0, 1,0,0, 0,0.56842105, 8
29550,1,4,*2,1,  8, 2, 0, 1,0,0, 1,0.57142857, 4
29574,1,4,*6,1, 16, 0, 2, 4,0,0, 1,0.88785047,24
29600,1,3,*3,1,  6, 0, 0, 1,0,0, 0,0.83251834, 7
29695,1,3,*2,1, 73, 2, 0, 3,0,0, 4,0.90000000, 8
29821,3,3,1,1, 58, 0,* 1,* 6,0,0,* 1,0.89430894,20
29883,1,3,3,*0, 17, 1, 0, 0,0,0, 0,0.60752688,12
29891,1,3,*7,1, 21, 0, 0, 3,0,0, 1,0.92429022,38
29916,1,4,1,1, 15, 0, 0, 5,*1,0, 1,0.73387097,11
29951,1,3,1,1,  8, 0, 0, 2,0,0, 1,0.69230769,* 1
30017,1,1,1,*0, 10, 1, 1, 1,1,1, 2,0.65420561, 3
30019,1,1,1,*0, 11, 2, 1, 1,1,1, 3,0.65420561, 3
30026,1,1,1,*0, 13, 2, 1, 1,1,1, 3,0.71369295, 3
30058,1,3,1,1, 48, 0, 1, 6,0,1,*19,0.55555556, 3
30063,2,3,1,1, 49, 0, 1,* 0,0,1,*23,0.55555556, 3
30074,5,*4,*1,1, 20, 0,* 0,* 5,0,0, 1,0.88571429,* 1
30277,1,3,2,1,  2,*82, 1, 0,2,0, 1,0.74885845,24
30278,1,3,2,1,  2,*81, 1, 0,2,0, 1,0.74885845,24
30373,3,1,*2,1, 75, 2, 0, 1,*2,*4, 3,0.71090047,28
30428,4,*4,*3,1, 50,* 2, 0, 0,0,0,* 0,0.92198953, 2
30547,2,3,*2,*0,  0, 1, 0, 1,0,0, 1,0.63128492,26
30553,1,3,*2,1,  1, 1, 0, 1,0,0, 0,0.58762887,26
30623,1,3,*3,1, 30, 0, 0, 0,0,0, 0,0.92279604,39
