issuekey	start	end	is_dead	priority	is_assigned	issuetype	has_priority_change
HBASE-12123	0	1	1	3	1	1	0
HBASE-9219	0	14	1	5	1	1	0
HBASE-6125	0	2543	0	4	0	2	0
HBASE-18743	0	1	0	2	0	1	0
HBASE-18743	1	2	1	2	1	1	0
HBASE-1427	0	36	1	4	1	7	1
HBASE-19907	0	5	1	3	1	1	0
HBASE-11477	0	2	1	3	1	1	0
HBASE-8871	0	1	1	3	1	1	0
HBASE-13200	0	8	1	3	1	1	0
HBASE-6297	0	2	1	3	1	1	0
HBASE-15866	0	56	0	3	0	1	0
HBASE-15866	56	80	1	3	1	1	0
HBASE-3089	0	3	1	3	0	1	0
HBASE-329	0	5	1	3	0	1	0
HBASE-12941	0	1001	1	3	0	1	0
HBASE-4263	0	2	0	4	0	1	0
HBASE-4263	2	3	0	4	0	4	0
HBASE-4263	3	5	1	4	1	4	0
HBASE-11775	0	108	1	4	1	7	0
HBASE-15329	0	7	1	4	0	1	0
HBASE-13867	0	11	0	3	0	3	0
HBASE-13867	11	139	1	3	1	3	0
HBASE-17260	0	1	1	5	1	7	0
HBASE-11641	0	4	1	3	0	1	0
HBASE-12282	0	249	1	3	1	7	0
HBASE-10510	0	1	1	4	1	1	0
HBASE-13235	0	6	1	3	1	4	0
HBASE-19992	0	457	0	3	1	1	0
HBASE-9595	0	2064	0	4	1	7	1
